,Date,index,average_neighbor_degree,node_redundancy,degree_centrality,eigenvector_centrality,closeness_centrality,current_flow_closeness_centrality,information_centrality,betweenness_centrality,current_flow_betweenness_centrality,approximate_current_flow_betweenness_centrality,communicability_betweenness_centrality,subgraph_centrality,harmonic_centrality,second_order_centrality,voterank_importance,number_of_cliques,triangles,clustering,square_clustering,eccentricity,pagerank,hits_hub,hits_authority,constraint,effective_size,closeness_vitality,trophic_levels
0,2016-05-27,S&P 500,2.6666666666666665,0.0,0.5555555555555556,0.20622222301494575,0.35555555555555557,0,0,0.15277777777777776,0,0,0,0,4.166666666666666,0,1,0,0,0.2222222222222222,0.25,0,0.1250230738236115,0.026407626960832896,0.3454211108051761,0.4415660430839003,2.8,,61.539473097439675
1,2016-05-27,Bitcoin,1.0,0.0,0.8888888888888888,0.45007576990034415,0.5470085470085471,0,0,0.3194444444444444,0,0,0,0,5.833333333333334,0,1,0,0,0.16666666666666666,0.0,0,0.15491874633489497,0.07470671376516112,0.09212257342606928,0.3429396967120182,5.375,,43.21458137796996
2,2016-05-27,Copper,4.0,0.0,0.3333333333333333,0.21884645196875954,0.4183006535947712,0,0,0.10416666666666666,0,0,0,0,4.5,0,0,0,0,0.16666666666666666,0.0,0,0.12000352839254043,0.0483653083866987,0.004746135993420023,0.41623582766439904,2.5,,50.65172872549272
3,2016-05-27,VIX,2.6666666666666665,0.0,0.4444444444444444,0.10411975161206447,0.2633744855967078,0,0,0.013888888888888888,0,0,0,0,3.066666666666667,0,1,0,0,0.3,0.1111111111111111,0,0.053732089576783104,0.3475380776911286,0.004177737386584608,0.5564002267573696,1.875,,62.539473097439675
4,2016-05-27,Gold,0.0,0.0,0.3333333333333333,0.5731918290819868,0.5625,0,0,0.0,0,0,0,0,5.833333333333334,0,0,0,0,0.6666666666666666,0.0,0,0.0943492659610329,0.0,0.0709862498957048,,,,46.96078750977171
5,2016-05-27,Silver,4.0,0.0,0.3333333333333333,0.2798055256808048,0.4183006535947712,0,0,0.125,0,0,0,0,4.583333333333333,0,0,0,0,0.3333333333333333,0.0,0,0.05775686127168117,0.07307939254145115,0.07830238458246747,0.5003188775510203,2.0,,52.98650426695373
6,2016-05-27,Natural Gas,1.0,0.0,0.2222222222222222,0.2272358113053543,0.3950617283950617,0,0,0.041666666666666664,0,0,0,0,4.0,0,1,0,0,0.0,0.0,0,0.07853563100140529,0.0018625234864729846,0.03210651975265084,0.5,2.0,,44.21458137796995
7,2016-05-27,USD_EUR,2.0,0.0,0.5555555555555556,0.38088832043213267,0.5079365079365079,0,0,0.006944444444444444,0,0,0,0,5.333333333333334,0,1,0,0,0.3888888888888889,0.0,0,0.09288876807600582,0.04346746134408918,0.1154518813139178,0.5946882086167801,2.0999999999999996,,36.004459527643526
8,2016-05-27,Crude Oil,2.25,0.0,0.7777777777777777,0.3043311882788798,0.47407407407407404,0,0,0.40277777777777773,0,0,0,0,5.166666666666666,0,1,0,0,0.23809523809523808,0.2857142857142857,0,0.19977236547097493,0.3374635278732383,0.2566854068440091,0.3993976757369614,5.214285714285714,,59.534494423584704
9,2016-05-27,US Wheat,3.0,0.0,0.2222222222222222,2.4364152654492513e-11,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1.0,1.0,0,0.023019670091069908,0.047109367950927045,0.0,0.880625,1.0,,1.0
0,2016-05-31,S&P 500,2.6666666666666665,0.0,0.5555555555555556,0.20622222301494575,0.35555555555555557,0,0,0.15277777777777776,0,0,0,0,4.166666666666666,0,1,0,0,0.2222222222222222,0.25,0,0.12390195688252903,0.026986320658348596,0.34367731679980973,0.4415660430839003,2.8,,62.68092578441448
1,2016-05-31,Bitcoin,1.0,0.0,0.8888888888888888,0.45007576990034415,0.5470085470085471,0,0,0.3194444444444444,0,0,0,0,5.833333333333334,0,1,0,0,0.16666666666666666,0.0,0,0.15543531343176287,0.07386976731172769,0.09452217909792905,0.3429396967120182,5.375,,43.4129102978496
2,2016-05-31,Copper,4.0,0.0,0.3333333333333333,0.21884645196875954,0.4183006535947712,0,0,0.10416666666666666,0,0,0,0,4.5,0,0,0,0,0.16666666666666666,0.0,0,0.11984483661530262,0.04853801357441566,0.004529826340581568,0.41623582766439904,2.5,,52.420489172102
3,2016-05-31,VIX,2.6666666666666665,0.0,0.4444444444444444,0.10411975161206447,0.2633744855967078,0,0,0.013888888888888888,0,0,0,0,3.066666666666667,0,1,0,0,0.3,0.1111111111111111,0,0.053425273406569246,0.34530488698009665,0.004259088822163353,0.5564002267573696,1.875,,63.68092578441448
4,2016-05-31,Gold,0.0,0.0,0.3333333333333333,0.5731918290819868,0.5625,0,0,0.0,0,0,0,0,5.833333333333334,0,0,0,0,0.6666666666666666,0.0,0,0.09451408156577301,-0.0,0.07167869323580058,,,,47.43341748507916
5,2016-05-31,Silver,4.0,0.0,0.3333333333333333,0.2798055256808048,0.4183006535947712,0,0,0.125,0,0,0,0,4.583333333333333,0,0,0,0,0.3333333333333333,0.0,0,0.0576951254278482,0.06944544874416038,0.07493879906988862,0.5003188775510203,2.0,,53.401719908804495
6,2016-05-31,Natural Gas,1.0,0.0,0.2222222222222222,0.2272358113053543,0.3950617283950617,0,0,0.041666666666666664,0,0,0,0,4.0,0,1,0,0,0.0,0.0,0,0.07861181724550324,0.0013055461614735996,0.03140135766424622,0.5,2.0,,44.4129102978496
